"","gender","index_immigration_status","home_possessions","cultural_possessions","home_edu_resources","escs","video_games","sport_after_school","read_books","internet_social","meet_friends","study_before_school","study_after_school","learning_time_math","learning_time_lang","learning_time_science","disciplinari_climate","subjective_well_being","enjoy_science","interest_broad_science","intrum_motiv_science","motivat","test_anxiety","education_parents_medium","education_parents_high","pv5math"
"11395",1,1,35307,-0.2614,-0.7218,0.8135,1,1,0,1,1,1,1,2.75,6.41666666666667,0.383333333333333,-0.1881,0.1643,-0.8208,-0.1178,-0.7778,-0.3158,-0.2067,0,1,613.206
"11396",0,1,38461,-0.0514,-1.3821,-0.4054,1,1,1,1,1,1,1,2.75,4.58333333333333,0.383333333333333,-0.3809,0.3645,0.042,0.3411,1.7359,-0.4495,0.4785,1,0,573.848
"11397",1,1,36003,0.2737,-0.1108,-0.1445,1,1,0,1,1,0,0,2.75,5.5,0.383333333333333,-0.4766,0.0018,-1.5148,-0.2248,0.3708,-0.8771,-0.1679,1,0,403.023
"11398",1,1,45608,0.5025,0.1927,0.2415,1,1,1,1,1,1,1,4.16666666666667,5.83333333333333,0.5,-2.3994,-0.5375,0.1942,-0.4908,1.7359,-0.3213,-0.1433,0,1,304.114
"11400",1,1,39581,-0.3331,0.1927,1.2805,1,0,0,1,1,1,1,5.5,5.5,0.533333333333333,-2.4162,-0.3182,0.5094,0.5305,0.3708,1.8543,0.206,0,1,304.118
"11401",1,1,41750,0.1157,1.1563,0.4118,1,1,1,1,1,1,1,4,4,0.583333333333333,0.5952,-0.0021,-0.6403,-0.1059,0.5519,-0.1651,-1.4251,0,1,409.673
"11402",1,1,30550,-0.4343,-0.1108,-1.223,1,0,0,1,1,0,0,3,4,0.416666666666667,0.2829,0.0218,-0.8208,-0.2052,-0.5115,-0.4849,-1.0445,0,0,447.611
"11403",1,1,24334,-1.6287,-1.1289,-0.6829,1,1,0,1,1,0,0,4,4,0.416666666666667,-1.5571,-0.3533,0.5094,0.5305,0.3708,0.9799,-0.6398,0,1,365.892
"11404",1,1,23105,-1.2278,-1.0509,-1.3603,1,1,0,1,1,0,0,6,6,0.416666666666667,-1.4227,-1.5354,-1.4176,-0.1178,0.3708,0.1246,1.3971,1,0,294.484
"11405",1,1,46198,1.0478,1.1563,-0.2864,1,1,0,1,1,1,1,4,4,0.416666666666667,0.6605,1.5043,0.5094,0.5392,-0.2714,0.4631,-0.664,1,0,365.189
"11406",1,1,31196,0.0058,-0.1108,-0.6518,0,0,0,0,1,0,1,4,4,0.416666666666667,-0.5148,0.1157,-0.2546,0.3209,0.1955,0.1111,-0.308,1,0,475.384
