"","gender","index_immigration_status","home_possessions","cultural_possessions","home_edu_resources","escs","video_games","sport_after_school","read_books","internet_social","meet_friends","study_before_school","study_after_school","learning_time_math","learning_time_lang","learning_time_science","disciplinari_climate","subjective_well_being","enjoy_science","interest_broad_science","intrum_motiv_science","motivat","test_anxiety","education_parents_medium","education_parents_high","pv5math"
"5156",0,1,36648,-0.4113,1.1563,-0.594,1,0,0,1,1,0,1,3.33333333333333,3.33333333333333,0.35,-0.2683,-0.3381,0.5094,-0.172,0.3708,-0.1163,1.0496,1,0,531.469
"5157",0,1,41643,1.0478,1.1563,0.3934,0,1,1,1,1,1,1,3.33333333333333,3.33333333333333,0.35,0.0039,2.5915,0.5094,0.5305,0.3708,1.8543,0.1441,1,0,610.782
"5158",0,1,37294,-0.2107,-0.1108,0.0269,0,1,1,1,1,1,1,3.33333333333333,27.5,0.35,-1.3567,-0.1613,-0.395,0.6098,0.3708,-0.5643,0.5271,1,0,525.371
"5159",0,1,26538,-1.6287,1.1563,0.0779,1,1,0,1,1,0,1,4.16666666666667,5.83333333333333,0.35,-1.0005,-0.3381,0.5094,0.706,1.0218,0.4631,-0.6788,0,1,602.875
"5160",1,0,26463,-1.6287,-0.6303,-2.396,0,1,0,1,1,1,1,3.33333333333333,3.33333333333333,0.35,0.4034,-0.7862,-0.8208,0.5305,0.3708,0.0614,0.0031,0,0,558.89
"5161",1,0,26306,-0.4343,-0.1108,-1.0588,1,1,0,1,1,1,1,3.33333333333333,3.33333333333333,0.35,0.8934,0.1643,0.5094,0.4827,0.3708,0.515,0.5306,1,0,552.2
"5162",1,1,39067,1.0478,-0.5113,-0.0526,1,0,0,1,1,0,0,3.33333333333333,3.33333333333333,0.35,0.2829,-1.3697,-0.2145,0.5305,-0.0575,-0.8896,0.5769,1,0,554.869
"5163",1,0,34214,0.3744,0.1927,-0.9314,1,0,0,1,0,1,1,3.33333333333333,3.33333333333333,0.35,0.0039,0.3171,-0.395,0.3721,0.3708,1.8543,-0.9405,1,0,472.793
"5164",1,1,32998,-0.0071,-0.7218,0.1294,0,1,0,1,1,1,1,4.16666666666667,3.33333333333333,0.35,0.2829,-0.4725,0.1458,0.2212,0.8155,-0.4495,1.4394,0,1,400.541
"5165",1,1,41495,0.7777,1.1563,-0.1286,0,1,1,1,1,0,1,3.33333333333333,3.33333333333333,0.35,-0.4491,-1.0576,0.125,0.5392,1.7359,-0.8771,-0.6871,1,0,503.904
"5166",1,1,26682,-1.6287,-1.1023,0.0027,1,1,0,1,1,1,0,3.33333333333333,5,0.35,-1.2115,0.3171,1.3221,0.1738,0.7648,-0.5996,1.3578,0,1,388.81
"5167",1,1,40879,-0.0514,-0.1108,0.138,1,1,0,1,1,0,1,3.33333333333333,4.16666666666667,0.35,-0.3506,0.0248,-1.0127,-0.1156,-0.2552,-0.8771,-0.2616,1,0,588.641
"5168",1,1,35689,0.1508,-0.1108,-0.4226,0,1,0,1,1,0,1,3.33333333333333,5,0.35,-0.1502,0.3171,0.5094,0.7043,0.3708,-0.4849,-0.0345,1,0,510.775
"5169",1,1,42125,0.7777,1.1563,-0.0642,1,1,0,1,1,0,1,3.33333333333333,4.16666666666667,0.35,1.0917,0.3462,-0.1379,1.1855,0.317,-1.0351,-0.3661,1,0,531.572
"5170",1,1,35383,-0.9969,-0.1108,0.6716,0,1,0,1,1,1,1,3.33333333333333,4.16666666666667,0.35,-0.7439,0.4597,-1.6408,-0.5747,-0.7778,0.1218,-0.6871,0,1,630.901
"5171",1,1,34556,-1.2278,-0.1108,0.5172,1,1,1,1,1,0,1,3.33333333333333,5.83333333333333,0.35,-0.1023,-0.5693,1.1074,0.5045,0.7648,0.1111,0.3366,0,1,550.811
"5172",1,1,26996,-1.6287,-2.1544,-1.4446,1,1,0,1,1,1,1,3.33333333333333,4.16666666666667,0.35,-0.8747,-0.3035,-1.4885,-0.14,-0.9922,-0.8771,0.0647,1,0,580.77
"5173",1,1,26945,-1.2278,-0.6172,0.7748,1,1,0,1,1,1,1,5,6.66666666666667,0.35,-1.3,-0.977,-0.8208,-0.3496,-0.7778,-1.0676,0.3997,0,1,567.134
"5174",1,1,35972,-0.522,0.1927,-0.0836,0,0,0,1,1,0,1,3.33333333333333,2.5,0.35,-1.9061,-1.1774,1.6681,-0.2273,1.7359,-0.1756,1.0605,1,0,535.187
"5175",1,1,35191,-0.356,-1.0364,-0.7736,1,0,0,1,0,0,0,3.33333333333333,2.5,0.35,-0.8722,-1.0992,-0.0998,-2.4981,-0.0575,-0.9207,0.63,1,0,576.897
"5176",1,1,33899,-0.2818,1.1563,-0.3045,1,1,0,1,1,0,1,3.33333333333333,3.33333333333333,0.35,-0.3809,0.2906,-0.4049,-0.2458,-0.0575,-0.2908,-0.5306,1,0,533.105
"5177",1,1,32574,-0.7039,-0.6303,-0.7044,1,1,1,1,1,1,1,3.33333333333333,5,0.35,-0.3164,-0.3381,-0.3681,0.0795,-0.2552,-1.4159,-0.308,1,0,504.85
"5178",1,1,36071,0.0768,1.1563,-0.5532,1,1,0,1,1,1,1,3.33333333333333,2.5,0.35,-0.7439,-0.3381,0.5094,0.5305,0.3708,-1.3192,0.4752,1,0,572.062
"5179",1,1,46503,0.7777,1.1563,1.3902,1,1,0,1,1,1,0,3.33333333333333,5,0.35,-0.3506,0.6642,-0.2121,0.586,0.3708,0.2405,-1.1074,0,1,591.44
"5180",1,1,53440,1.0478,1.1563,0.707,1,1,1,1,1,1,1,3.33333333333333,6.66666666666667,0.35,-0.4858,-0.0251,-0.8208,-0.2865,-0.2152,-0.4849,0.219,1,0,542.185
"5181",1,1,38187,0.0433,1.1176,-0.9217,1,1,0,1,1,1,1,3.33333333333333,5,0.35,-1.0005,0.6846,-1.0286,-0.3744,0.3708,-0.3111,0.5209,0,0,551.568
"5183",1,1,32090,-0.9969,1.1563,-1.5384,1,1,0,1,1,0,1,3.66666666666667,5.5,0.383333333333333,-0.829,-1.6448,0.5094,0.5305,0.3708,1.8543,2.3195,0,0,423.785
"5184",1,0,31663,-0.6174,-0.1108,-0.2916,1,1,1,1,1,1,1,4.33333333333333,6.5,0.45,-0.1424,-0.0848,-0.2713,0.5878,0.3708,0.705,-0.6844,0,1,319.714
"5186",1,0,21612,-0.356,-1.7141,-2.4097,0,1,0,1,1,1,1,3.66666666666667,5.5,0.383333333333333,0.0039,-0.4725,0.5094,0.2552,-0.2317,-1.1706,0.6434,0,0,320.89
"5187",0,1,30588,-0.0071,-0.7218,-1.9593,0,0,1,0,1,0,1,4.16666666666667,3.33333333333333,0.35,1.1892,0.6642,0.5094,0.7736,0.3708,-0.61,0.0752,0,0,517.891
"5188",1,1,40437,0.7777,1.1563,0.5144,1,1,0,1,1,1,1,5,4,0.416666666666667,1.3185,0.9357,1.1049,2.2358,-1.9301,-1.0771,-0.3165,1,0,495.972
"5189",1,1,40421,2.1655,1.1563,1.3114,0,1,1,1,1,1,1,5,4,0.416666666666667,1.1892,0.7701,0.5094,0.9248,0.3708,0.4631,1.1311,0,1,518.119
"5190",0,1,35010,-0.2818,1.1563,-1.3691,0,1,1,1,1,1,1,4,4,0.583333333333333,0.0039,-0.5064,2.1635,0.5217,1.0728,0.3377,1.0461,0,0,610.081
"5191",1,1,39255,0.2162,-0.1108,1.2685,1,0,0,1,1,0,0,5,4,0.583333333333333,-1.0592,0.3171,-0.6148,0.5217,-1.9301,-2.2331,-2.505,0,1,658.927
"5193",0,1,40189,2.1655,1.1563,0.154,0,1,1,1,1,1,1,5,4,0.416666666666667,0.0039,-0.3381,0.8225,-0.6723,1.7359,1.8543,0.219,1,0,623.361
"5194",0,1,39389,0.7777,-0.1108,-0.519,0,1,1,1,1,1,1,5,4,0.416666666666667,0.2884,0.6642,0.5094,1.3588,0.3708,0.4631,0.1661,1,0,625.621
"5195",0,1,38139,0.7777,-0.1108,1.0829,0,1,0,1,1,0,0,5,4,0.416666666666667,-0.8228,0.3171,0.5094,0.7736,0.3708,0.4631,-0.7766,0,1,534.667
"5196",0,1,30650,-0.2107,-0.1108,0.0101,0,1,0,1,1,1,1,6.25,5,0.5,0.6,-0.0373,-0.8208,-0.3744,0.3708,-0.1163,2.5493,1,0,502.121
"5198",1,1,42362,1.4996,1.1563,-0.0554,0,1,0,1,1,1,1,5,4,0.416666666666667,0.2884,0.7555,0.5094,0.5305,0.3708,0.5952,0.7993,1,0,508.802
"5199",1,1,48597,2.1655,-0.7218,1.6533,1,1,1,1,1,1,1,5,4,0.416666666666667,0.8386,-0.0644,0.5094,2.4511,0.7429,-0.4849,-0.2067,0,1,497.465
"5202",0,1,38062,1.0478,1.1563,-0.5854,0,1,1,1,1,1,1,5,6,1.58333333333333,-0.6312,1.0269,1.3859,1.3588,0.9798,-0.5748,1.1199,1,0,598.916
"5203",0,1,35902,0.2834,1.1563,-1.4603,1,1,1,1,1,1,1,4,6,0.416666666666667,0.2829,-0.7862,-0.2831,1.6345,1.7359,1.3961,1.1311,0,0,311.11
"5204",0,1,40332,-0.831,1.1563,-0.5329,1,0,1,1,1,0,1,4,4,1.48333333333333,1.3185,-0.6156,2.1635,2.4511,-1.9301,0.1111,2.5493,0,0,378.229
"5205",0,1,39204,0.6093,1.1563,0.8947,1,0,0,0,1,1,1,3.66666666666667,3.66666666666667,0.533333333333333,1.8837,0.6642,0.5094,1.4193,0.8155,-0.4495,-0.053,0,1,465.954
"5207",0,1,43057,0.0058,1.1563,1.0983,0,0,1,1,1,1,1,3.33333333333333,5,0.35,-0.5436,0.5423,0.5094,1.1191,1.7359,0.4631,1.9474,0,1,330.883
"5208",0,1,36136,-0.7039,1.1563,-0.4598,0,1,0,1,1,1,1,3.33333333333333,3.33333333333333,0.35,-0.4458,0.2947,0.8931,2.4511,1.0728,-0.1163,1.7292,0,0,498.576
"5209",1,1,35532,-0.1892,1.1563,-1.3292,1,1,0,1,1,1,1,8.33333333333333,11.6666666666667,0.633333333333333,1.8837,-1.8419,-0.3398,0.1186,0.8155,0.1246,0.7993,0,0,437.731
"5210",1,1,44694,0.7777,1.1563,0.2906,1,1,1,1,1,1,1,4,4,0.716666666666667,1.8837,2.5915,0.5094,0.5305,0.3708,-0.4495,0.7993,0,1,405.093
"5211",0,1,38641,0.6093,1.1563,-0.3844,1,1,1,1,1,1,1,4,4,0.0166666666666667,-0.1881,-0.604,-0.3793,-0.2865,0.0125,0.1717,1.7952,0,1,363.812
"5212",0,1,38112,-0.2598,1.1563,0.4289,0,1,0,1,1,1,1,4,5,1.48333333333333,-0.3164,0.6642,0.0992,0.763,0.3708,0.1111,0.2092,1,0,528.759
"5213",0,1,35881,0.0058,-0.1108,-0.633,0,0,0,1,1,1,0,4,6,2.11666666666667,0.1628,0.0248,2.1635,0.9248,1.7359,0.8598,2.5493,1,0,493.635
"5214",1,1,32716,-0.2818,-1.1119,0.0178,0,1,1,1,1,1,1,4,6,1,1.3818,-0.4725,2.1635,0.1393,0.3708,-1.6866,0.2092,0,1,416.097
"5215",0,1,39960,2.1655,0.0321,-0.245,0,1,1,0,1,1,0,3.33333333333333,5,0.866666666666667,0.9373,0.9357,0.5094,0.5392,1.7359,1.8543,0.4752,1,0,473.982
"5216",0,1,37949,0.3744,-0.6281,-0.6929,1,0,0,1,1,0,1,3.66666666666667,5.5,0.933333333333333,0.8934,1.0269,0.5094,0.9248,1.356,-1.2286,-0.0997,1,0,380.747
"5217",0,1,30801,-0.6174,1.1563,-1.5238,0,1,1,1,1,1,1,4,6,1.35,1.3185,1.5611,1.1662,0.5689,1.356,0.2084,-0.1391,0,0,517.141
"5220",0,1,40220,0.3005,1.1563,-0.566,1,0,0,0,1,1,1,4,6,1.58333333333333,0.6595,1.0269,0.5094,0.7736,0.3708,-0.1651,1.0016,1,0,426.193
"5221",0,0,19386,-0.4343,-1.9024,-2.5471,0,1,1,1,0,0,0,1,2,0.416666666666667,-1.0532,-0.3381,-0.3544,0.0683,-0.3202,0.1717,0.7993,0,0,325.31
"5222",0,0,28963,-0.2818,-1.1871,0.4357,0,0,0,1,1,0,0,2.5,7.5,0.35,-1.4259,-0.363,-0.6036,-0.172,0.3708,-0.4363,-0.0345,0,1,448.211
"5224",1,1,45634,0.5025,-0.7026,0.6434,1,1,1,1,1,1,1,5,4,0.583333333333333,-0.3506,-1.0497,-0.5228,-0.4747,-0.6696,0.0609,0.3997,1,0,444.798
"5225",0,1,41783,0.7777,-0.1108,0.7002,0,0,1,1,1,0,1,2.75,3.66666666666667,0.383333333333333,-0.7439,1.5043,0.2131,-0.6723,-0.2552,-0.6458,0.2158,0,1,503.704
"5226",0,1,59809,0.5025,-0.1108,1.2893,0,1,0,1,1,0,1,2.5,3.33333333333333,0.35,0.8934,0.6642,-1.0186,-0.2323,0.458,-1.0676,1.9474,0,1,488.456
"5227",0,1,37271,0.6093,-0.1108,-0.6867,0,1,1,1,1,0,1,2.5,6.66666666666667,0.35,-0.3506,-0.1266,0.125,1.238,-0.2874,0.6507,0.5306,0,0,521.775
"5228",0,1,44439,2.1655,1.1563,1.3144,1,1,1,1,1,1,1,3.33333333333333,3.33333333333333,0.633333333333333,-0.5717,0.1516,0.5094,0.5305,0.3708,-0.4495,0.2854,0,1,505.717
"5229",0,1,42970,0.4793,1.1563,0.4958,1,1,0,1,1,0,1,3.33333333333333,5.83333333333333,0.633333333333333,-1.0563,-0.2541,1.6681,1.6345,1.7359,-0.4954,0.7993,0,1,348.433
"5230",0,1,38974,0.4793,-0.1108,0.597,0,0,0,1,1,0,0,3,3,0.416666666666667,-1.637,-0.5064,-2.1154,-0.1991,-1.9301,-0.5643,0.8425,0,1,441.691
"5231",0,1,35807,1.0478,-1.1119,0.5632,0,1,0,0,1,0,1,2.75,6.41666666666667,0.383333333333333,-2.4162,1.0269,-2.1154,-1.1289,1.0978,0.1928,-0.0136,0,1,450.104
"5232",1,1,34257,0.2162,-0.1108,-0.002,1,1,1,1,1,1,1,2,9,0.2,-2.4162,-0.5064,0.8225,-0.0774,0.6961,-0.0495,-0.1909,1,0,536.53
"5233",1,1,52463,0.7777,-0.1108,1.0202,1,1,1,1,1,1,1,9,6,1,1.1892,-1.3628,2.1635,1.1858,-0.4846,0.705,0.1837,1,0,476.016
"5234",1,1,44799,1.0478,1.1563,1.121,1,1,0,1,1,0,0,4.16666666666667,4.16666666666667,0.633333333333333,-0.228,0.3171,0.5094,0.0979,-0.2874,-1.0795,-0.9464,0,1,584.332
"5236",1,1,36876,-0.2598,1.1563,0.0859,1,1,0,1,1,0,1,3.66666666666667,6.41666666666667,0.666666666666667,-0.7439,0.331,1.0938,1.0051,0.2852,-0.4495,-0.0955,0,1,456.649
"5237",1,0,44832,2.1655,1.1563,1.1428,1,1,1,1,1,0,1,5,5,0.866666666666667,-1.0005,-0.4725,-0.8208,0.3721,-0.2874,-0.7662,0.7993,0,1,386.677
"5238",1,1,40775,0.5025,-0.7218,0.5598,1,0,0,1,0,1,1,3,4,0.416666666666667,-0.8722,-0.4725,-0.6306,-1.0724,0.3708,-0.8771,0.7882,0,1,402.343
"5240",0,1,48086,2.1655,1.1563,1.6138,1,1,1,1,0,1,1,7,5,0.716666666666667,-0.5436,-0.3381,0.5094,0.6584,1.7359,0.2405,-0.0345,0,1,573.017
"5241",1,1,41798,0.7777,1.1563,0.5231,1,1,1,1,1,0,1,3,4,0.583333333333333,-1.1864,-0.604,-0.0885,-0.2681,0.0956,-0.5512,-0.0465,1,0,605.527
"5242",1,1,34394,-0.356,-0.7218,0.9452,0,0,1,1,0,0,1,4,4,0.866666666666667,0.1099,-0.4725,1.6403,0.3471,0.3708,1.0385,0.2854,0,1,618.344
"5243",0,1,35477,-0.2107,-0.1108,-0.3085,1,0,1,1,0,1,1,4,4,0.716666666666667,-1.0005,-1.2259,0.5094,0.5305,0.3708,-0.1163,1.1924,1,0,490.044
"5244",1,1,56130,0.7777,1.1563,1.6392,1,1,1,1,1,1,1,4,4,0.716666666666667,-2.4162,2.5915,-0.05,0.557,-0.6012,-0.7764,-1.3343,0,1,536.908
"5250",0,1,34332,-0.2598,-0.7218,0.1475,1,1,1,0,0,1,1,3,9,0.416666666666667,0.0039,0.9357,-0.6005,0.5305,0.3708,-0.3263,0.6007,1,0,392.266
"5251",0,1,40273,0.5025,-0.1108,0.6654,1,1,1,1,1,0,1,3,9,0.416666666666667,-0.3843,0.2947,1.3369,2.4511,0.1639,-0.1624,0.3964,0,1,447.533
"5252",0,1,32664,0.3005,-0.1108,0.1605,0,0,1,0,1,0,1,2,6,0.266666666666667,-0.1945,1.1245,-0.2831,0.0755,-0.4166,0.705,-0.6656,0,1,462.474
"5255",0,1,22592,-0.5975,-0.6281,-1.9701,0,0,0,1,1,0,1,2.75,6.41666666666667,0.383333333333333,-1.4259,0.525,-0.6306,0.228,-0.7778,-0.7083,1.2511,0,0,387.697
"5258",0,1,31681,-0.831,-0.1108,0.4736,1,1,1,1,1,1,1,6,8,0.716666666666667,0.0039,-0.7346,-0.576,-1.6194,0.9798,-1.1822,0.5209,0,1,445.559
"5261",0,1,30291,-0.222,-0.9814,-1.3565,1,0,1,1,1,1,1,3,7,0.416666666666667,0.8934,-0.0621,2.1635,0.5305,0.3708,1.3961,-0.0465,0,0,501.727
"5262",0,1,31790,-0.2598,-0.1108,-0.6506,0,1,1,1,1,1,1,2.75,3.66666666666667,0.383333333333333,-1.8465,0.6642,0.1559,-1.2455,-0.3035,0.2296,1.0016,1,0,454.082
"5263",0,1,32506,-0.4945,-0.1108,-0.8309,1,0,0,1,1,1,1,2.75,3.66666666666667,0.383333333333333,-0.2683,-0.3381,-2.1154,-1.2668,-0.0575,-1.5087,2.5493,1,0,374.36
"5266",1,1,32907,-0.2107,-1.3733,-1.3224,1,1,1,1,1,1,1,3,7,0.416666666666667,-1.3544,-0.1066,0.5094,0.685,-0.4002,0.4748,1.0461,0,0,387.867
"5269",0,1,32540,-0.4343,-0.1108,-1.7222,0,0,0,1,1,0,1,2,4,0.416666666666667,0.4489,0.0048,-2.1154,-0.2865,0.3708,0.4631,1.7184,0,0,501.057
"5271",1,1,46358,2.1655,1.1563,0.9716,1,1,0,1,1,0,1,1,1,0.2,0.8934,-0.5064,2.1635,1.6345,-1.9301,-0.1651,-0.0836,0,1,502.914
"5272",0,0,26070,-0.7273,-0.5343,-0.3732,1,0,0,1,1,1,1,4,4,0.416666666666667,0.6558,-0.4838,1.3508,1.1029,1.7359,1.8543,-0.8455,0,1,469.795
"5273",0,1,45213,1.0478,-0.1639,0.9296,1,1,0,1,1,1,1,3,4,0.416666666666667,0.0039,-0.1144,-0.3398,0.2913,0.3708,0.4631,1.0016,0,1,333.225
"5274",0,1,36028,0.6093,1.1563,-0.6188,0,1,1,0,1,1,1,3,5,0.583333333333333,0.2829,-0.5199,-0.8208,-0.0034,0.0125,-0.8771,-0.3165,1,0,468.747
"5275",0,1,45280,1.0478,1.1563,1.3246,1,0,1,1,1,1,1,3,5,0.416666666666667,1.3185,-0.8516,0.5094,0.2822,1.7359,0.1609,2.5493,0,1,564.983
"5276",0,1,34118,0.0636,0.0321,0.9557,1,1,0,1,1,1,1,3,6,0.416666666666667,-0.3506,-0.3381,-1.0004,-0.352,0.3708,0.0437,1.3578,0,1,593.836
"5277",0,1,38670,0.4793,1.1563,-1.2346,0,1,1,1,1,1,1,3,5,0.416666666666667,1.8837,0.4597,-0.0547,-0.1178,-0.3035,0.1609,-0.2067,0,0,524.633
"5278",0,1,39770,0.1376,0.0321,-0.3573,1,0,0,1,1,0,1,3,7,0.416666666666667,0.2829,-0.3035,-1.2368,-0.1178,-1.9301,-0.4495,1.8135,1,0,471.848
"5279",0,1,29515,-0.7039,-0.1108,-0.8582,0,0,0,1,1,1,1,3,5,0.416666666666667,0.5529,-0.3381,-0.3928,-0.1178,0.3708,-0.8234,0.7186,1,0,387.276
"5280",0,1,36474,0.7777,1.1563,0.0175,0,0,1,1,1,1,1,3,4,0.416666666666667,0.0039,-0.7089,0.8931,1.4193,-0.5555,-0.2111,1.1199,1,0,469.927
"5281",0,1,36579,0.3005,-0.6303,0.4346,1,0,1,0,0,1,1,3,4,0.416666666666667,-0.2336,-0.1144,-0.8208,-0.2052,-0.7778,-1.3169,0.5209,1,0,386.535
"5282",0,1,35908,0.7777,-0.7218,-0.2926,0,1,1,1,1,1,1,5,4,0.416666666666667,-0.7439,1.0269,0.125,0.0795,-0.3035,-0.8771,1.0016,1,0,462.214
"5283",0,1,45632,0.2293,1.1563,1.5442,0,1,0,1,1,1,1,5,4,0.416666666666667,0.7048,-0.604,0.125,1.2179,-0.2552,-1.8178,1.4987,0,1,494.401
"5284",0,1,51769,0.4793,1.1563,1.5639,1,1,1,1,1,1,1,5,4,0.416666666666667,0.8033,0.3171,0.5094,0.9248,1.7359,0.1111,0.7186,0,1,515.619
"5286",0,1,28461,0.7777,-1.8851,-0.2802,1,1,1,1,1,0,1,4,4,0.416666666666667,-0.1502,0.2774,-2.1154,-0.9308,-1.9301,-1.1706,-0.478,1,0,352.058
"5287",0,1,30750,-0.831,1.1563,0.832,1,1,0,1,1,1,1,2.75,3.66666666666667,0.383333333333333,-1.0005,-0.3381,-0.576,-0.5297,-0.4595,-0.5996,1.4098,0,1,427.333
"5288",0,1,43923,2.1655,1.1563,-0.0187,1,1,0,1,1,0,1,3,4,0.416666666666667,-0.2683,-0.1266,0.5094,-0.1178,-0.0086,-0.7315,1.0016,1,0,412.646
"5289",1,1,37549,0.1376,-0.1108,-0.7902,1,1,0,1,1,1,1,3,4,0.416666666666667,-0.347,0.1643,-0.1522,1.0687,-0.6393,-1.0377,0.6007,1,0,304.811
"5290",1,1,34244,-0.356,-0.6303,-0.3931,1,1,1,1,1,0,0,4,4,0.716666666666667,0.0039,-0.3381,0.5094,-0.0369,0.3708,-0.1651,-0.0345,1,0,405.087
"5291",1,1,47312,1.0478,-0.7218,1.5646,1,0,1,1,1,1,1,5,4,0.416666666666667,0.0039,-0.0944,2.1635,1.225,1.7359,-0.109,-0.9491,0,1,478.584
"5292",1,1,35489,-0.1523,-0.6303,0.2643,1,1,1,1,1,1,1,5,4,0.416666666666667,0.6,0.5643,1.3705,0.8721,0.3708,-0.4982,0.1441,0,1,437.337
"5293",1,1,34044,-0.1892,-1.1119,0.5604,1,1,1,0,1,0,1,5,4,0.416666666666667,1.0917,0.6642,0.5094,0.9248,-0.7778,-0.8771,0.206,0,1,614.739
"5294",1,1,33601,-0.222,-1.1119,-0.9456,0,0,0,1,1,0,1,5,4,0.416666666666667,1.8837,0.5423,0.5094,0.6888,0.2464,-1.1822,0.206,0,0,445.45
"5295",0,1,34697,-0.2598,1.1563,0.7704,0,0,1,1,1,1,1,2,4,0.416666666666667,1.8837,-0.4063,-0.1379,-0.0908,0.3708,-0.7662,2.5493,0,1,490.625
"5297",0,1,36377,0.0768,0.0321,-0.2961,1,1,0,1,0,1,1,5,4,0.716666666666667,-1.1306,0.0248,0.5094,0.7736,1.7359,-0.0137,1.1338,1,0,344.295
"5298",1,1,37130,-0.2818,-0.6303,-0.4544,1,1,0,1,1,0,0,5,4,0.716666666666667,-0.8747,-0.6239,-0.8208,0.0211,-0.5555,-0.61,0.3035,1,0,555.062
"5299",1,1,37440,0.7777,-0.5343,-0.3603,1,0,0,1,1,1,1,4,4,0.716666666666667,-0.7943,-1.1713,2.1635,0.9311,1.7359,-0.1624,1.5125,1,0,570.693
"5300",0,1,43643,2.1655,-0.7026,-0.3183,1,0,1,1,1,1,1,2.5,3.33333333333333,0.35,0.0039,-0.4838,-1.2109,-2.4981,-0.7778,-1.695,0.7993,1,0,526.794
"5301",0,1,44753,-0.2614,1.1563,-0.1431,0,1,1,1,1,1,1,3.66666666666667,3.66666666666667,0.383333333333333,0.8934,-0.082,0.0992,0.2482,0.3708,-0.7662,-0.0345,0,0,489.932
"5303",0,1,52255,0.6093,1.1563,0.1031,1,1,1,1,1,1,1,2.5,3.33333333333333,0.35,1.0389,1.0269,0.5094,-0.0095,0.3708,-0.1651,1.1311,1,0,475.992
"5304",0,1,41104,0.6093,1.1563,0.4149,0,0,1,1,1,1,1,2.5,3.33333333333333,0.35,1.1165,-0.1515,2.1635,1.0195,0.0125,-0.1651,-0.308,1,0,593.74
"5305",0,1,40566,0.2834,0.6645,0.0852,1,0,1,1,1,1,1,2.5,3.33333333333333,0.35,0.9781,0.6642,0.5094,-0.0034,0.3708,0.1717,0.7993,1,0,524.208
"5306",0,1,49695,1.0478,1.1563,1.3011,1,1,1,1,1,1,1,2.5,3.33333333333333,0.35,0.9337,0.9646,-0.2121,0.7736,0.3708,0.1717,1.1311,0,1,607.352
"5308",0,1,45940,0.7777,-0.1108,0.6257,0,1,0,1,1,1,1,2.5,3.33333333333333,0.35,0.5529,0.3171,-2.1154,-0.1178,0.3708,-0.4954,-0.2039,0,1,599.59
"5309",0,1,39826,1.0478,-1.1119,0.3803,0,1,1,1,1,0,1,2.5,3.33333333333333,0.35,0.9373,-0.376,-0.4071,0.1075,-0.494,-1.1822,0.5209,0,1,482.734
"5310",0,1,37550,0.2737,-0.1108,-0.1083,1,1,1,1,1,1,1,2.5,3.33333333333333,0.35,0.0039,1.0269,-2.1154,-0.1178,0.3708,-0.4954,1.5125,1,0,465.722
"5311",0,1,54362,0.6093,1.1563,1.0334,1,1,1,1,1,1,1,2.5,3.33333333333333,0.35,0.2829,-1.5221,-0.1336,0.0345,1.7359,1.8543,-0.4063,1,0,533.707
"5312",0,1,46184,1.0478,1.1563,0.366,1,1,1,1,1,1,1,2.5,3.33333333333333,0.35,0.1628,-1.2335,-0.576,0.0795,-0.5115,0.5387,-0.4221,0,1,600.326
"5313",0,1,42081,0.7777,1.1563,-0.5824,0,1,1,1,1,0,1,2.5,3.33333333333333,0.35,0.2343,-0.8307,-0.576,-0.0908,-0.494,-0.7662,-0.4671,1,0,616.416
"5314",0,1,37481,0.1508,-0.1108,-0.0881,0,1,1,1,1,1,1,2.5,3.33333333333333,0.35,0.8934,0.9357,1.1799,0.1457,1.356,-0.011,0.2662,1,0,655.733
"5315",0,1,34796,-0.0071,1.1563,0.3608,0,0,1,1,1,1,1,2.75,3.66666666666667,0.383333333333333,0.6558,-0.082,1.3859,0.5392,1.7359,1.0385,-0.0345,0,1,602.223
"5317",0,1,34667,-0.7039,-0.1108,-0.0283,0,0,0,1,1,0,1,2.5,3.33333333333333,0.35,0.008,-0.0621,-1.3786,-1.2847,-0.7778,0.515,1.2704,1,0,514.94
"5318",0,1,49459,0.0768,1.1563,1.0857,0,1,1,1,1,1,1,2.5,3.33333333333333,0.35,1.8837,-0.3381,-1.1478,-0.2865,-0.7778,-0.8234,-0.9491,0,1,575.519
"5320",0,1,38355,0.2293,-0.7218,1.2768,1,1,1,1,1,1,1,2.5,3.33333333333333,0.35,0.9781,-0.3335,2.1635,1.2381,0.0125,-0.0733,-0.8438,0,1,617.489
"5321",0,0,38297,0.0636,1.1563,-1.3309,0,0,1,1,1,0,1,3,3,0.316666666666667,0.0039,-0.6292,0.5094,1.1786,1.7359,0.2805,1.8135,0,0,426.598
"5322",1,0,28056,-1.2278,1.1563,-0.9945,1,1,1,1,1,1,1,3,3,0.316666666666667,0.0039,-0.4725,0.5094,0.1042,0.8155,1.3961,0.8425,1,0,515.718
"5326",0,0,36733,-0.356,1.1563,-0.0227,1,1,1,1,1,1,1,4,4,0.416666666666667,1.8837,-0.9024,-0.3398,0.5305,0.3708,1.3961,0.7993,0,1,511.567
"5327",0,0,39699,2.1655,1.1563,-1.0728,0,1,0,1,0,1,1,3,4,0.416666666666667,1.0438,-0.707,-0.1945,0.1973,0.7954,0.2805,-0.4671,0,0,439.669
