"","student_id","school_id","pv5math","home_possessions","cultural_possessions","escs","disciplinari_climate","learning_time_math","learning_time_lang","learning_time_science","enjoy_science","interest_broad_science","motivat","test_anxiety","gender","education_parents_medium","education_parents_high","video_games","immigration_status","internet_social","study_before_school","study_after_school","private_independent","school_size","ISCED_orient","certified_teacher_prop","sci_teacher_prop","student_hindering_behav","student_teacher_ratio"
"98",38007591,4,477.381,-0.424361308206471,-0.6174,-0.106,0.1099,2.75,3.66666666666667,0.383333333333333,-0.576,0.2664,-0.2315,0.7291,1,1,0,1,1,1,1,1,0,670,1,0.5271,0.4335,1.0924,6.601
"99",38004512,4,379.72,-0.014438330538829,0.0636,-0.0277,-1.0005,5,6.66666666666667,0.35,0.8433,0.0795,-0.5996,0.5209,1,0,1,1,1,1,1,1,0,670,1,0.5271,0.4335,1.0924,6.601
"101",38002804,4,537.454,0.317290435292897,0.7777,0.0674,-0.8722,3.33333333333333,3.33333333333333,0.35,0.5094,0.324,-0.1651,0.8425,1,1,0,0,1,1,1,1,0,670,1,0.5271,0.4335,1.0924,6.601
"104",38008025,4,321.81,-3.13462603658028,-1.6287,-2.2112,0.0039,3.66666666666667,2.75,0.383333333333333,-0.3398,0.5305,-0.5512,0.7993,0,0,0,0,1,1,1,0,0,670,1,0.5271,0.4335,1.0924,6.601
"105",38005003,4,392.749,-1.18678996975201,-0.831,0.0043,-1.1531,3.33333333333333,5,0.35,-0.3892,-0.7097,-0.1519,1.4394,0,1,0,0,1,1,0,0,0,670,1,0.5271,0.4335,1.0924,6.601
"106",38015024,4,451.876,1.63830934620129,0.1157,-0.8367,0.0039,3.33333333333333,3.33333333333333,0.35,-0.1522,0.5305,-0.8771,-0.478,1,0,0,1,1,0,1,1,0,670,1,0.5271,0.4335,1.0924,6.601
"108",38011681,4,417.036,0.167640471527929,0.6093,-0.1433,-0.3809,3.66666666666667,3.66666666666667,0.383333333333333,-0.2145,0.6385,-0.4849,-0.6237,1,0,1,0,1,0,0,0,0,670,1,0.5271,0.4335,1.0924,6.601
"110",38016949,4,384.66,-0.167317139675837,0.2737,-1.4335,0.1099,3.66666666666667,3.66666666666667,0.383333333333333,0.0992,0.8721,-0.1519,1.8135,1,0,0,0,1,1,1,1,0,670,1,0.5271,0.4335,1.0924,6.601
"111",38001108,4,549.195,0.396186570035779,0.7777,-0.5112,0.0039,2.25,3,0.316666666666667,0.5094,0.6496,-0.4495,0.5209,1,1,0,1,1,1,0,1,0,670,1,0.5271,0.4335,1.0924,6.601
"112",38005253,4,509.772,0.637648050031787,-0.4365,-0.4479,-0.7211,3.66666666666667,5.5,0.816666666666667,0.5094,0.6496,0.1717,1.0461,1,1,0,1,1,1,1,1,0,670,1,0.5271,0.4335,1.0924,6.601
"113",38003174,4,397.455,-0.139099838815838,-1.2278,-0.6513,-1.2121,3.66666666666667,5.5,0.383333333333333,-0.3237,1.1878,-0.1651,1.0461,1,1,0,0,1,0,1,0,0,670,1,0.5271,0.4335,1.0924,6.601
"114",38015283,4,425.02,-0.343920943068266,0.2737,-1.2318,-1.4259,4.16666666666667,5.83333333333333,0.35,0.5852,-0.3744,-0.2006,1.491,1,0,0,1,1,1,1,1,0,670,1,0.5271,0.4335,1.0924,6.601
"115",38016619,4,526.341,-0.882857351036102,-0.4504,-1.1869,0.4046,5,3.33333333333333,0.35,0.0992,-0.0848,-1.5087,1.7952,0,0,0,0,1,1,1,1,0,670,1,0.5271,0.4335,1.0924,6.601
"116",38007754,4,450.305,-0.599280496622185,-0.5975,-1.5259,-0.9727,4.58333333333333,5.5,0.533333333333333,-2.1154,-0.7485,0.705,1.7184,0,0,0,0,1,1,1,0,0,670,1,0.5271,0.4335,1.0924,6.601
"118",38017608,4,411.434,-1.29334186702932,-0.7273,0.8566,0.0039,4.58333333333333,5.5,0.383333333333333,0.5094,0.706,-1.3753,0.0244,1,0,1,1,1,1,0,1,0,670,1,0.5271,0.4335,1.0924,6.601
"119",38001071,4,487.239,-0.349255557161201,2.1655,0.8972,-1.0005,3.33333333333333,3.33333333333333,0.35,-2.1154,-0.237,-1.0795,-1.1801,1,0,1,1,1,1,0,0,0,670,1,0.5271,0.4335,1.0924,6.601
"120",38014589,4,537.434,1.56250167224906,0.6062,1.6044,-0.746,3.66666666666667,3.66666666666667,0.933333333333333,2.1635,-0.237,-0.7764,0.1903,1,0,1,1,1,1,1,0,0,670,1,0.5271,0.4335,1.0924,6.601
"121",38019880,4,490.519,-1.60232833067537,-0.4343,-0.993,0.0039,5,3.33333333333333,0.35,-0.4593,-0.1156,-0.6909,-2.505,1,1,0,0,1,0,0,0,0,670,1,0.5271,0.4335,1.0924,6.601
"122",38003720,4,394.416,-1.28674379170384,-1.6287,-1.6439,-0.347,3.33333333333333,5,0.35,-0.8208,-0.3744,-0.2315,0.4752,1,0,0,0,1,1,1,1,0,670,1,0.5271,0.4335,1.0924,6.601
"123",38018362,5,391.247,-0.0133152538876848,2.1655,-0.3497,0.8351,3,5,0.416666666666667,-1.6934,0.1911,-1.1272,1.1311,0,1,0,0,1,1,1,1,0,1320,0,0.8804,0.2065,0.8718,14.3478
"124",38018950,5,480.149,1.58257666738826,1.0478,0.1715,0.0039,5,4,0.416666666666667,0.5094,0.5305,0.9799,2.5493,1,1,0,0,1,1,1,1,0,1320,0,0.8804,0.2065,0.8718,14.3478
"125",38013460,5,594.914,0.0139193549025627,-0.356,0.0913,0.0039,5,5,0.416666666666667,-0.7802,0.5392,0.1609,1.0496,0,1,0,0,1,1,1,1,0,1320,0,0.8804,0.2065,0.8718,14.3478
"126",38010647,5,659.298,1.02145949556033,2.1655,1.3386,1.0438,4.58333333333333,3.66666666666667,0.383333333333333,-0.1522,0.1042,1.8543,1.5125,0,0,1,1,1,1,0,1,0,1320,0,0.8804,0.2065,0.8718,14.3478
"127",38017146,5,565.5,2.365080324073,0.7777,1.637,1.0438,5,4,0.416666666666667,-0.1522,-0.1388,-0.1651,1.1338,0,0,1,0,1,1,0,1,0,1320,0,0.8804,0.2065,0.8718,14.3478
"128",38001909,5,564.788,0.0661424191807692,0.6093,0.043,1.3818,2.75,3.66666666666667,0.383333333333333,-0.576,-1.0724,0.4631,0.6725,0,1,0,0,1,1,1,1,0,1320,0,0.8804,0.2065,0.8718,14.3478
"129",38018630,5,401.093,-0.276817113162399,-0.1523,0.2012,1.3185,3,4,0.416666666666667,-0.576,0.2367,-1.0795,1.4098,0,1,0,0,1,1,1,1,0,1320,0,0.8804,0.2065,0.8718,14.3478
"130",38005237,5,685.616,-0.0206152521201222,0.1157,1.1072,-0.5436,5,4,0.416666666666667,-1.4436,-0.2545,-0.4954,-0.5306,0,0,1,0,1,1,0,1,0,1320,0,0.8804,0.2065,0.8718,14.3478
"132",38013825,5,542.196,0.486875009615675,2.1655,0.1945,0.5186,3,4,0.416666666666667,-2.1154,-1.2847,-0.4954,1.3538,0,1,0,0,1,1,1,0,0,1320,0,0.8804,0.2065,0.8718,14.3478
"133",38014484,5,572.448,-0.0625902419566377,0.7777,-0.094,-0.6002,2.75,3.66666666666667,0.383333333333333,-0.1945,-0.0908,-1.1209,1.2076,0,1,0,0,1,1,1,1,0,1320,0,0.8804,0.2065,0.8718,14.3478
"134",38003436,5,570.78,0.0671251112505204,-0.4343,0.2086,0.2343,3,4,0.416666666666667,-2.1154,-0.2052,-0.7315,-0.308,0,1,0,0,1,1,0,1,0,1320,0,0.8804,0.2065,0.8718,14.3478
"135",38002161,5,509.434,-0.535265127506964,-0.831,-0.9306,-0.7439,3,4,0.416666666666667,-2.1154,-0.9308,0.4748,2.5493,0,0,0,1,1,1,1,1,0,1320,0,0.8804,0.2065,0.8718,14.3478
"136",38016433,5,527.915,1.83611122138407,1.0478,1.1186,-0.3164,3,4,0.416666666666667,-0.8208,-0.3199,0.4631,0.7964,0,0,1,0,1,1,0,1,0,1320,0,0.8804,0.2065,0.8718,14.3478
"137",38007791,5,656.05,-0.383930548765279,-0.2598,0.9707,-0.3506,4.58333333333333,4.58333333333333,0.383333333333333,0.1458,0.8002,-0.5996,0.8425,0,0,1,0,1,1,0,1,0,1320,0,0.8804,0.2065,0.8718,14.3478
"138",38003398,5,606.731,-0.100915232676934,0.7777,1.0861,0.7048,4.58333333333333,3.66666666666667,0.383333333333333,0.1458,0.0345,-0.8107,0.3997,0,0,1,1,1,1,0,1,0,1320,0,0.8804,0.2065,0.8718,14.3478
"139",38008056,5,622.489,0.774242247727204,0.7777,1.3772,-0.2296,4.58333333333333,2.75,0.383333333333333,0.5094,0.438,0.5387,0.2594,0,0,1,0,1,1,1,1,0,1320,0,0.8804,0.2065,0.8718,14.3478
"140",38008607,5,484.869,-0.474759372926569,1.0478,-0.3879,1.3751,2.75,4.58333333333333,0.383333333333333,0.5094,0.7736,-0.8771,0.7186,0,1,0,0,1,1,1,1,0,1320,0,0.8804,0.2065,0.8718,14.3478
"141",38013389,5,573.754,0.596374983102237,2.1655,0.6509,0.2884,2.75,4.58333333333333,0.383333333333333,0.0992,0.438,0.4094,-1.005,0,0,1,0,1,1,1,1,0,1320,0,0.8804,0.2065,0.8718,14.3478
"142",38003427,5,578.694,0.775365324378348,0.2293,0.208,1.8837,5,4,0.416666666666667,0.8433,0.5353,-1.24,-0.1131,1,1,0,0,1,1,0,1,0,1320,0,0.8804,0.2065,0.8718,14.3478
"144",38015553,5,680.542,0.626276898938952,0.2293,1.2558,0.6558,5,4,0.416666666666667,-0.6427,-0.2197,-1.3668,-1.4251,1,0,1,0,1,1,0,1,0,1320,0,0.8804,0.2065,0.8718,14.3478
"145",38016529,5,531.985,0.554961531591294,0.6062,1.1959,0.4046,4.16666666666667,3.33333333333333,0.35,-0.2121,0.33,-0.1624,0.4097,1,0,1,0,1,1,0,1,0,1320,0,0.8804,0.2065,0.8718,14.3478
"146",38001342,5,608.318,1.21490944871992,0.7777,-0.0055,1.3751,5,4,0.716666666666667,1.6903,1.1029,-0.4495,0.7993,1,1,0,1,1,1,0,1,0,1320,0,0.8804,0.2065,0.8718,14.3478
"147",38018148,5,583.393,1.12183447125634,0.0768,1.1376,-0.3506,4.58333333333333,4.58333333333333,0.383333333333333,0.1458,0.4913,-0.2111,-1.1074,1,0,1,1,1,1,0,1,0,1320,0,0.8804,0.2065,0.8718,14.3478
"148",38006221,5,553.25,-0.172792138350165,-0.0652,0.9433,-0.4266,4.58333333333333,4.58333333333333,0.383333333333333,0.5094,1.3674,-0.1624,1.4226,1,0,1,1,1,1,0,1,0,1320,0,0.8804,0.2065,0.8718,14.3478
"149",38012926,5,568.762,-0.724643927806159,-0.222,-0.164,-0.6873,5,4,0.416666666666667,-1.3786,-0.9308,-0.3751,-0.3108,1,1,0,1,1,1,0,0,0,1320,0,0.8804,0.2065,0.8718,14.3478
"150",38018278,5,599.745,-0.74879007580576,0.2834,0.9165,0.9383,2.5,5,0.35,0.5094,0.1075,-2.0766,-1.9346,1,0,1,1,1,0,1,1,0,1320,0,0.8804,0.2065,0.8718,14.3478
"225",38000313,6,324.668,-0.203395977093845,0.6093,-1.3396,1.8837,4.58333333333333,27.5,0.383333333333333,-1.3786,0.015,0.9799,-0.8135,0,0,0,1,1,1,1,1,0,2092,1,0.7842,0.259,1.7822,10.0336
"228",38002903,6,321.462,0.2668923705728,0.2834,0.4395,1.7968,4.33333333333333,8.66666666666667,0.45,0.152,-0.3744,1.8543,0.1311,1,0,1,1,0,1,1,0,0,2092,1,0.7842,0.259,1.7822,10.0336
"231",38018296,6,403.791,0.212563537573698,2.1655,-0.5386,-2.3691,3.33333333333333,5,0.35,-2.1154,-2.4981,0.705,2.5493,0,1,0,1,1,1,1,1,0,2092,1,0.7842,0.259,1.7822,10.0336
"232",38007667,6,659.594,1.08912486379177,0.7777,-0.5402,-1.9061,3.33333333333333,6.66666666666667,0.35,-2.1154,-2.4981,0.515,-0.0374,0,1,0,1,1,1,0,1,0,2092,1,0.7842,0.259,1.7822,10.0336
"233",38016839,6,388.059,0.154023167132805,0.3005,0.128,-0.93,3,4,0.416666666666667,0.5094,-1.0845,-0.3111,0.7993,0,1,0,0,1,1,1,1,0,2092,1,0.7842,0.259,1.7822,10.0336
"234",38007972,6,481.538,1.79062661701273,2.1655,-0.0424,-0.8008,3.66666666666667,7.33333333333333,0.383333333333333,-0.1522,1.234,-0.8133,0.5306,0,1,0,0,1,1,0,0,0,2092,1,0.7842,0.259,1.7822,10.0336
