"","student_id","school_id","region","school_size","internet_percentage","certified_teacher_prop","sci_teacher_prop","student_hindering_behav","student_teacher_ratio","ISCED_orient","private_government","private_independent","overcrowded_classes","home_possessions","cultural_possessions","escs","disciplinari_climate","learning_time_math","learning_time_lang","learning_time_science","enjoy_science","interest_broad_science","motivat","test_anxiety","gender","education_parents_medium","education_parents_high","video_games","immigration_status","internet_social","study_before_school","study_after_school","home_edu_resources","sport_after_school","read_books","meet_friends","out_of_school_study_time_per_week","subjective_well_being","intrum_motiv_science","parent_emotional_support","pv5math","pv5read","pv5scie"
"820",38001388,38000303,"Lombardia",NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0.1508,0.5042,0.8934,4.58333333333333,3.66666666666667,0.666666666666667,0.0992,0.5305,-0.7662,-0.2067,0,0,1,0,1,0,0,0,-0.1108,"No","No","No",11,0.0171,0.3708,NA,598.321,619.447,638.913
"821",38001390,38000113,"0",NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,0.2737,-0.8121,-0.7211,4.16666666666667,5,0.35,0.125,0.1377,-0.4849,-0.5224,1,1,0,0,1,1,0,1,-0.1108,"No","Yes","Yes",40,0.0248,0.3708,-1.8389,599.757,483.479,573.439
"822",38001391,38000447,"TrentinoAA",NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,0.3005,-0.3301,0.6558,3,3,0.316666666666667,-0.1808,0.3315,-0.7662,-0.2039,0,1,0,0,1,1,1,1,-0.1108,"Yes","Yes","No",24,0.4597,0.4152,-0.9094,471.674,455.555,480.71
"823",38001392,38000433,"TrentinoAA",NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,-0.5041,0.012,-1.0005,3.33333333333333,3.33333333333333,0.35,-2.1154,-2.4981,-1.8916,-1.0698,0,1,0,1,1,1,0,0,-0.448,"No","No","Yes",21,0.2947,-0.7778,0.7454,468.428,462.73,439.245
"824",38001394,38000423,"0",NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,0.2293,-0.3912,-0.5148,5,6,0.416666666666667,0.5094,2.4511,-0.2006,0.5209,1,1,0,0,1,1,0,1,-0.1108,"Yes","Yes","Yes",26,-0.3011,1.7359,-1.8389,394.472,492.457,501.668
"825",38001395,38000050,"TrentinoAA",651,1,1,0.1034,1.1432,14.9655,0,0,0,0,NA,0.2737,-1.4638,0.5529,2.5,3.33333333333333,0.35,-1.1339,0.2436,-1.0795,0.5209,0,0,0,0,1,1,0,1,0.5717,"Yes","No","Yes",9,0.9357,-0.9922,0.1104,465.079,507.106,479.864
"826",38001397,38000412,"Campania",1407,1,0.7632,0.1429,0.6298,10.5789,1,0,0,0,NA,-0.356,-1.7109,-0.5177,4,4,0.416666666666667,-0.1522,0.1911,-0.8771,0.8531,1,0,0,1,1,1,0,1,-0.1108,"No","No","Yes",12,-0.0275,0.3708,-0.0918,553.504,498.652,518.343
"827",38001398,38000343,"Lombardia",375,0.1667,0.9024,0.1585,0.6925,9.1463,0,0,0,0,NA,0.6062,1.5451,-0.0668,3.66666666666667,3.66666666666667,0.383333333333333,1.1662,0.5195,-1.3169,1.3578,1,0,1,0,1,1,1,1,1.1563,"Yes","No","Yes",30,0.2947,-0.0575,0.7454,659.524,650.164,639.132
"828",38001400,38000367,"Lombardia",NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0.2293,0.7272,0.2884,3,4,0.416666666666667,-0.1379,0.6496,-0.4954,1.8135,0,0,1,0,1,1,1,1,1.1563,"Yes","Yes","Yes",22,0.3648,-0.0948,0.7454,473.846,434.05,439.035
"829",38001403,38000217,"0",300,1,0.7742,0.5269,0.6829,6.4516,1,0,0,0,NA,-0.831,0.1423,-0.1502,4,4,1.58333333333333,0.5094,0.7985,-0.2803,0.2594,1,0,1,NA,1,0,0,0,1.1563,"No","Yes","No",23,0.1308,-0.7778,-1.8389,392.295,459.54,400.734
