"student_id","school_id","region","school_size","internet_percentage","certified_teacher_prop","sci_teacher_prop","student_hindering_behav","student_teacher_ratio","ISCED_orient","private_government","private_independent","overcrowded_classes","home_possessions","cultural_possessions","escs","disciplinari_climate","learning_time_math","learning_time_lang","learning_time_science","enjoy_science","interest_broad_science","motivat","test_anxiety","gender","education_parents_medium","education_parents_high","video_games","immigration_status","internet_social","study_before_school","study_after_school","home_edu_resources","sport_after_school","read_books","meet_friends","out_of_school_study_time_per_week","subjective_well_being","intrum_motiv_science","parent_emotional_support","pv5math","pv5read","pv5scie"
38005794,38000221,"TrentinoAA",NA,NA,NA,NA,NA,NA,1,NA,NA,NA,40879,-0.0514,0.138,-0.3506,3.33333333333333,4.16666666666667,0.35,-1.0127,-0.1156,-0.8771,-0.2616,1,1,0,1,1,1,0,1,-0.1108,1,0,1,10,0.0248,-0.2552,-0.5155,588.641,598.564,620.738
38005795,38000213,"Campania",1028,1,0.9224,0.056,-0.8644,8.8621,1,0,0,0,22451,-0.831,-2.8365,1.0378,4,4,0.416666666666667,-0.5781,-0.2052,-1.4159,1.4987,0,0,0,1,1,1,NA,0,-0.7218,0,0,1,7,0.6642,-0.0948,-2.3267,371.201,384.095,346.661
38005797,38000184,"Lombardia",786,1,0.8205,0.5833,1.554,10.0769,1,0,0,0,37560,0.1157,0.6896,-0.2336,5,6,0.416666666666667,-0.1522,0.2184,1.8543,2.5493,1,0,1,1,1,1,1,1,-0.7218,1,0,1,37,-0.62,1.7359,-1.8389,493.635,408.839,363.316
38005800,38000209,"0",NA,NA,NA,NA,NA,NA,1,NA,NA,NA,25638,-1.6287,-1.2176,-0.9829,1,1.5,0.1,-2.1154,-1.3032,-1.7498,1.1311,1,0,0,1,1,1,0,1,-1.1119,0,0,1,20,-0.4838,-0.5555,0.7454,460.097,322.494,414.729
38005802,38000393,"0",399,1,1,0.1379,-0.1841,9.1724,0,0,0,0,39056,2.1655,-1.3444,0.4896,NA,NA,NA,-0.3259,0.0683,0.8598,0.9434,1,0,0,1,0,1,1,1,1.1563,1,1,1,NA,-0.9335,-0.2392,NA,275.292,355.245,284.925
38005805,38000218,"Campania",NA,NA,NA,NA,NA,NA,1,NA,NA,NA,23591,-0.6174,-1.9747,-1.2727,0,0.25,0.05,-2.1154,-0.3744,-0.2111,-1.3753,1,0,0,0,1,1,0,0,-1.5169,1,0,0,NA,-0.2889,0.3708,-0.4195,417.355,402.181,323.133
38005807,38000099,"TrentinoAA",114,1,0.2,0.16,-0.1714,9.12,0,1,0,0,33836,0.1919,0.2656,0.2829,2.5,3.33333333333333,0.5,-0.8757,-0.2865,-1.1798,-0.1874,0,0,1,1,1,1,1,0,-0.1108,1,1,1,5,0.1643,-0.2002,NA,503.718,407.058,500.493
38005809,38000116,"0",888,1,0.9528,0.3701,0.3622,13.9843,0,0,0,0,42178,0.7777,0.9213,NA,4,4,0.583333333333333,-0.576,-0.0034,-0.2111,1.8135,0,0,1,0,1,1,1,1,-0.1108,0,0,1,18,-0.3381,-0.0948,0.7454,583.908,448.535,465.23
38005810,38000367,"Lombardia",NA,NA,NA,NA,NA,NA,0,NA,NA,NA,47441,0.6093,0.2346,1.8837,3,3,0.416666666666667,-0.7639,-0.1178,0.1609,2.5493,0,1,0,0,1,1,0,1,1.1563,1,1,1,17,0.2418,0.1955,0.7454,539.512,570.505,514.494
38005812,38000390,"0",NA,NA,NA,NA,NA,NA,0,NA,NA,NA,39068,0.1919,0.2368,-0.4491,3.66666666666667,3.66666666666667,0.666666666666667,0.5094,0.3411,0.8598,1.1311,0,1,0,0,1,0,0,1,1.1563,1,1,1,14,0.6642,0.0125,-0.4195,599.584,540.938,588.492
38005813,38000316,"TrentinoAA",NA,NA,NA,NA,NA,NA,1,NA,NA,NA,34519,-0.831,-1.2838,-0.8722,3.33333333333333,3.33333333333333,0.633333333333333,-1.7159,0.1053,-1.2707,1.1924,0,0,0,1,1,1,0,1,-0.1108,1,1,1,NA,-0.385,-1.9301,NA,459.196,426.907,469.564
38005814,38000010,"TrentinoAA",NA,NA,NA,NA,NA,NA,1,NA,NA,NA,39863,0.1919,-0.044,1.8837,3.33333333333333,4.16666666666667,0.5,0.2483,0.6584,-0.7662,-0.567,0,1,0,1,1,1,1,1,1.1563,1,0,1,12,0.6642,-0.2552,-1.8389,432.171,515.993,446.999
38005815,38000199,"0",NA,NA,NA,NA,NA,NA,0,NA,NA,NA,33779,-0.0835,0.2821,1.3818,5.5,3.66666666666667,0.533333333333333,-0.1522,NA,-0.4849,-0.0374,1,0,1,0,1,1,1,1,1.1563,1,0,1,19,-1.8419,1.7359,-0.4195,693.438,587.161,623.962
38005816,38000240,"0",743,1,0.9122,0.1622,0.8718,10.0405,1,0,0,1,32276,-0.831,-0.4468,1.2422,4,4,0.416666666666667,1.6903,-0.2704,0.0903,0.3333,1,1,0,1,1,1,0,1,-0.6303,0,0,0,35,0.0248,0.3708,0.1104,470.454,537.617,556.021
38005818,38000144,"TrentinoAA",NA,NA,NA,NA,NA,NA,0,NA,NA,NA,35752,0.3941,0.3629,0.6605,7.5,7.5,0.8,1.0501,1.1029,-0.4954,0.1409,1,1,0,1,1,0,0,1,1.1563,0,1,1,10,1.398,1.1151,NA,658.882,617.259,601.969
38005819,38000134,"Campania",435,1,0.8364,0.5727,0.6298,3.9545,1,0,0,0,36959,-0.356,-0.4606,NA,1.5,1.75,0.316666666666667,0.5094,0.5305,-0.1651,0.5209,1,1,0,1,1,1,1,1,-0.6303,0,1,0,NA,-0.983,0.3708,NA,422.915,416.133,445.52
38005822,38000365,"TrentinoAA",NA,NA,NA,NA,NA,NA,0,NA,NA,NA,30561,-1.6287,-0.6958,0.0039,2.5,3.33333333333333,0.35,0.5094,0.7736,-1.4627,-0.9266,1,1,0,1,1,1,1,1,0.1927,1,1,1,NA,2.5915,-0.7778,NA,548.411,437.132,477.714
38005823,38000493,"0",319,1,0.6727,0.2909,-0.2386,5.8,1,0,0,0,39462,0.4793,-1.2468,0.2829,4,4,0.416666666666667,-2.1154,-2.5316,-1.2202,1.7184,1,0,0,1,1,1,0,0,0.0321,0,0,1,17,-0.4725,-1.9301,NA,347.223,342.287,386.47
38005825,38000090,"Campania",1322,1,0.9441,0.0994,-1.2619,16.4224,1,0,0,1,34837,0.0636,-1.7805,NA,NA,NA,NA,1.4062,NA,1.8543,0.94,1,0,0,0,1,1,1,1,-0.7218,0,1,1,NA,0.3602,-0.3438,-0.5155,345.488,414.004,391.299
38005827,38000279,"TrentinoAA",NA,NA,NA,NA,NA,NA,0,NA,NA,NA,50034,1.0478,1.5615,-0.5803,4.16666666666667,3.33333333333333,0.633333333333333,0.125,0.9074,-0.61,2.5493,1,0,1,1,1,1,0,1,1.1563,0,1,1,10,0.4801,0.8545,NA,614.844,555.362,554.001
