"","school_id","region_Campania","region_Lombardia","private_government","private_independent","school_size","overcrowded_classes","ISCED_orient","pcs_per_student","internet_percentage","edu_leadership","curricular_development","istructional_leadership","professional_development","curricular_responsability","resources_responsability","school_authonomy","teacher_participation","material_shortage","staff_shortage","certified_teacher_prop","teacher_num","sci_teacher_prop","certified_sci_teacher_prop","creative_activities","science_resources","teacher_hindering_behav","student_hindering_behav","student_teacher_ratio","student_id","dimension_city","home_possessions","cultural_possessions","escs","disciplinari_climate","learning_time_math","learning_time_lang","learning_time_science","enjoy_science","interest_broad_science","motivat","test_anxiety","pv5math","gender","education_parents_medium","education_parents_high","video_games","immigration_status","internet_social","study_before_school","study_after_school"
"44",38000002,0,0,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,-0.7997,-0.3422,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,38001980,NA,33389,0.2834,-0.2695,-0.8959,3.33333333333333,5,1.16666666666667,-0.1379,-0.0908,-0.2671,1.1924,444.642,1,0,1,1,1,1,1,1
"45",38000002,0,0,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,-0.7997,-0.3422,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,38012217,NA,57088,1.0478,1.4387,-0.2336,3.33333333333333,4.16666666666667,1.28333333333333,NA,NA,-0.1651,-0.0345,436.258,1,0,1,1,1,1,1,0
"46",38000002,0,0,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,-0.7997,-0.3422,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,38011825,NA,30612,-0.7039,-0.4769,-0.6051,3.33333333333333,2.5,1.08333333333333,-2.1154,-1.0968,-2.2453,-0.3386,539.472,1,0,0,1,1,1,1,0
"47",38000002,0,0,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,-0.7997,-0.3422,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,38001240,NA,37451,-0.0514,-0.1802,NA,NA,NA,NA,NA,NA,1.8543,2.5493,386.682,1,0,1,NA,1,NA,NA,NA
"48",38000002,0,0,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,-0.7997,-0.3422,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,38011180,NA,20952,-0.2107,0.0173,0.5059,3.66666666666667,4.58333333333333,0.383333333333333,NA,NA,-0.3263,2.5493,507.285,1,0,1,NA,1,NA,NA,NA
"49",38000002,0,0,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,-0.7997,-0.3422,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,38004982,NA,37230,0.7777,NA,1.8837,3.33333333333333,5,0.35,0.5094,0.5305,0.469,0.2092,565.382,1,NA,NA,1,1,0,1,1
"50",38000003,0,0,0,0,569,0,0,1.0732,1,-0.773,-1.4467,-0.7967,0.4295,1.4806,-0.782,0.58,5,-0.849,-0.9308,0.5753,73,0.1575,0.913,1,6,-0.666,-0.8695,7.7945,38008535,2,31877,-0.522,0.0552,0.5529,5,4,0.416666666666667,-0.2121,-0.475,-1.4049,0.9715,354.965,0,1,0,1,1,1,1,1
"51",38000003,0,0,0,0,569,0,0,1.0732,1,-0.773,-1.4467,-0.7967,0.4295,1.4806,-0.782,0.58,5,-0.849,-0.9308,0.5753,73,0.1575,0.913,1,6,-0.666,-0.8695,7.7945,38002533,2,24413,-0.4343,-0.9816,-1.0246,4.16666666666667,4.16666666666667,0.5,0.5094,0.0159,-0.4495,0.4517,490.58,1,1,0,1,1,1,0,1
"52",38000003,0,0,0,0,569,0,0,1.0732,1,-0.773,-1.4467,-0.7967,0.4295,1.4806,-0.782,0.58,5,-0.849,-0.9308,0.5753,73,0.1575,0.913,1,6,-0.666,-0.8695,7.7945,38017963,2,29917,-0.8341,-0.9054,NA,6,4,0.416666666666667,-0.2121,-0.2112,1.8543,0.4752,529.289,1,1,0,1,1,1,1,1
"53",38000003,0,0,0,0,569,0,0,1.0732,1,-0.773,-1.4467,-0.7967,0.4295,1.4806,-0.782,0.58,5,-0.849,-0.9308,0.5753,73,0.1575,0.913,1,6,-0.666,-0.8695,7.7945,38016050,2,36037,0.7777,-0.7012,-0.2683,4.58333333333333,3.66666666666667,0.383333333333333,1.6403,0.438,0.4631,1.8135,570.78,0,1,0,0,1,0,0,1
