"","school_id","region_Campania","region_Lombardia","private_government","private_independent","school_size","overcrowded_classes","ISCED_orient","pcs_per_student","internet_percentage","edu_leadership","curricular_development","istructional_leadership","professional_development","curricular_responsability","resources_responsability","school_authonomy","teacher_participation","material_shortage","staff_shortage","certified_teacher_prop","teacher_num","sci_teacher_prop","certified_sci_teacher_prop","creative_activities","science_resources","teacher_hindering_behav","student_hindering_behav","student_teacher_ratio","pv5math"
"298","298",0,0,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,-0.7997,-0.3422,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,52.0149004922947
"299","299",0,1,0,0,921,0,0,0.3911,1,-0.5257,-0.3466,-0.1449,-0.5182,-0.4196,-0.6941,0.67,5,-0.1328,-0.5736,0.985,66.5,0.2406,1,1,4,0.5094,0.3046,13.8496,55.4055771937383
"300","300",0,0,0,0,80,0,0,0.0769,1,-0.2325,-0.4435,0.2905,-0.6676,-0.2296,-0.7644,0.58,5,3.6096,0.5301,0.8788,16.5,0.1515,1,2,3,0.4447,0.0897,4.8485,43.0268222250975
"301","301",0,0,1,0,449,0,1,0.6066,1,-0.8995,-0.8669,-0.5081,-0.6512,0.9105,-0.4741,0.58,3,-0.2374,0.2838,0.1034,43.5,0.1149,0,1,4,0.0185,0.6298,10.3218,45.1874031180127
"302","302",0,1,0,0,112,0,1,1.1765,1,-0.809,-0.2749,-0.8352,-1.2228,1.4806,2.8245,1,6,0.5881,0.0814,0,12,0.125,NA,0,0,0.03,-2.1182,9.3333,40.6994474102585
"303","303",0,0,0,0,1108,1,0,0.249,1,-1.0787,-0.3971,-0.7967,-0.9907,-0.7997,-0.7946,0.33,2,0.068,0.2838,0.8,125,0.2,1,0,5,-0.2873,0.2229,8.864,55.4224657993117
"304","304",0,0,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,-0.7997,-0.3422,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,54.4297943393281
"305","305",0,0,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,-0.7997,-0.3422,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45.7540541738024
"306","306",0,1,0,0,1391,1,1,0.1873,1,0.1303,0.4393,-0.4317,0.7395,-0.2296,-0.782,0.5,3,-0.3301,0.9091,0.7762,138.5,0.1841,0.9608,1,4,-0.6684,-0.9281,10.0433,47.2757440227689
"307","307",0,0,0,0,591,0,1,0.8696,1,-0.0673,0.0788,-0.5882,0.1158,-0.2296,-0.782,0.5,4,-0.7421,0.2299,0.7388,122.5,0.0735,0.5556,0,4,0.005,1.1957,4.8245,50.0967110261795
"308","308",1,0,0,0,350,0,0,0.2158,0.5667,-0.9698,-1.7773,-2.0798,1.0958,-0.2296,-0.738,0.58,3,1.7302,0.3739,1,44,0.2045,1,3,3,0.6543,-0.6502,7.9545,41.6576790743653
"309","309",0,0,0,0,566,0,1,0.4615,1,0.297,-0.5455,0.5929,0.4659,1.4806,-0.782,0.58,4,0.5881,0.4495,0.9205,88,0.4432,1,2,6,-0.3334,0.8718,6.4318,49.0213620091605
"310","310",0,1,0,0,1272,0,1,0.784,1,0.0373,0.2784,0.2905,-0.4247,-0.2296,-0.782,0.58,0,0.9328,1.4002,0.9159,113,0.2876,1,0,3,-0.2873,-2.1182,11.2566,48.6297150093503
"311","311",0,0,0,0,954,0,0,0.6378,1,-0.699,-0.3029,-1.752,-0.3483,0.9105,-0.782,0.58,3,-0.3301,-1.6823,0.9399,91.5,0.2404,0.8864,3,3,-2.3872,-1.2437,10.4262,52.8175971946109
"312","312",0,0,0,0,193,0,1,0.6486,1,-0.4356,-0.4435,-0.1754,-0.4247,-0.7997,-0.5533,0.58,5,0.9854,-0.8076,0.6727,27.5,0.4545,0.76,0,4,0.5094,0.6925,7.0182,52.9279313895574
"313","313",0,0,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,-0.7997,-0.3422,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45.6394110035089
"314","314",0,0,1,0,485,0,1,0.7092,1,-0.388,-0.8669,-0.1754,0.1931,0.3405,2.2968,1,2,0.5881,-1.6823,0.5333,75,0.1467,0.6364,0,4,1.8991,-0.1073,6.4667,48.688010286461
"315","315",0,0,0,0,818,0,0,0.3911,1,-2.2536,-1.7773,-1.6791,-2.1242,0.0554,-0.782,0.58,6,0.5881,-1.6823,1,84,0.1429,1,1,2,0.5094,-0.4789,9.7381,40.559295458646
"316","316",0,0,NA,NA,743,0,0,0.2,1,2.1073,2.9951,2.2317,1.8133,-0.2296,-0.6941,0.5,3,NA,NA,NA,NA,NA,NA,1,2,NA,NA,NA,37.4207390039389
"317","317",1,0,0,0,265,0,0,0.3,1,0.3048,0.4602,NA,0.0394,-0.2296,-0.6589,0.58,4,0.7414,-0.3545,0.5,70,0.3,1,2,5,0.6543,-1.4562,3.7857,41.6730081528145
"318","318",0,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,-0.7997,-0.3422,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,47.774189983883
